SkeleRoot null -1.5,3,-6 0,0,0 1,1,1 1 1
SkeleNeck SkeleRoot 0,-0.4,0 0,0,0 1,1,1 0 1
SkeleClavicle SkeleNeck 0,-0.2,0 0,0,0 1,1,1 0 0
SkeleMidspine SkeleClavicle 0,-0.8,0 0,0,0 1,1,1 0 1
SkeleLowerSpine SkeleMidspine 0,-0.8,0 0,0,0 1,1,1 0 1
SkeleShoulderbladeR SkeleClavicle -0.2,-0.2,0 0,0,0 1,1,1 1 0
SkeleShoulderR SkeleShoulderbladeR -0.2,0.2,0 0,0,0 1,1,1 0 1
SkeleElbowR SkeleShoulderR -0.65,-0.5,0 0,0,0 1,1,1 0 1
SkeleForearmR SkeleElbowR -0.4,-0.3,0 0,0,0 1,1,1 0 0
SkeleWristR SkeleForearmR -0.4,-0.3,0 0,0,0 1,1,1 0 1
SkeleHandR SkeleWristR -0.1,-0.1,0 0,0,0 1,1,1 0 0
SkeleShoulderbladeL SkeleClavicle 0.2,-0.2,0 0,0,0 1,1,1 1 0
SkeleShoulderL SkeleShoulderbladeL 0.2,0.2,0 0,0,0 1,1,1 0 1
SkeleElbowL SkeleShoulderL 0.65,-0.5,0 0,0,0 1,1,1 0 1
SkeleForearmL SkeleElbowL 0.4,-0.3,0 0,0,0 1,1,1 0 0
SkeleWristL SkeleForearmL 0.4,-0.3,0 0,0,0 1,1,1 0 1
SkeleHandL SkeleWristL 0.1,-0.1,0 0,0,0 1,1,1 0 0
SkeleHipR SkeleLowerSpine -0.4,0.15,0 0,0,0 1,1,1 0 1
SkeleKneeR SkeleHipR 0,-0.8,0 0,0,0 1,1,1 0 1
SkeleShinR SkeleKneeR 0,-0.35,0 0,0,0 1,1,1 0 0
SkeleAnkleR SkeleShinR 0,-0.35,0 0,0,0 1,1,1 0 1
SkeleFootR SkeleAnkleR 0,-0.05,0.15 0,0,0 1,1,1 0 1
SkeleToesR SkeleFootR 0,-0.05,0.15 0,0,0 1,1,1 0 0
SkeleHipL SkeleLowerSpine 0.4,0.15,0 0,0,0 1,1,1 0 1
SkeleKneeL SkeleHipL 0,-0.8,0 0,0,0 1,1,1 0 1
SkeleShinL SkeleKneeL 0,-0.35,0 0,0,0 1,1,1 0 0
SkeleAnkleL SkeleShinL 0,-0.35,0 0,0,0 1,1,1 0 1
SkeleFootL SkeleAnkleL 0,-0.05,0.15 0,0,0 1,1,1 0 1
SkeleToesL SkeleFootL 0,-0.05,0.15 0,0,0 1,1,1 0 0
